#Gene_name	LTL331_pre_Cx (bio1)	LTL331_pre_Cx (bio2)	LTL331_Cx_8wk	LTL331_Cx_12wk	LTL331_Cx_relapsed_NEPC (bio1)	LTL331_Cx_relapsed_NEPC (bio2)
BMPR1B	17188 	21146 	3294 	2143 	39 	27 
OSGIN1	661 	320 	58 	55 	205 	233 
YAP1P1	211 	880 	187 	62 	0 	4 
FEV	923 	490 	203 	80 	148 	378 
NXPH3	238 	510 	63 	43 	9 	15 
MT1X	2172 	1329 	344 	202 	369 	1401 
GPR110	4351 	2264 	444 	383 	120 	71 
MAF	35411 	24359 	4584 	3488 	170 	148 
CENPW	355 	133 	49 	29 	475 	447 
C19orf48	27694 	17041 	4069 	2615 	6451 	7949 
CAMK2N1	98713 	10841 	4360 	6426 	2313 	942 
ANGPTL4	1099 	242 	64 	79 	132 	125 
NDRG1	249886 	161909 	32080 	24547 	1912 	1827 
SLC22A3	15923 	11954 	732 	1681 	4 	1 
DHRS7	37686 	16711 	6362 	3326 	4827 	5057 
TLL2	959 	768 	149 	108 	27 	24 
KNSTRN	2528 	748 	343 	206 	3515 	4528 
AK5	378 	208 	28 	37 	452 	227 
TMPRSS2	65630 	82854 	12128 	9438 	13 	11 
MN1	830 	3534 	381 	278 	4721 	1463 
SPDEF	30862 	18934 	6903 	3188 	451 	324 
MTFP1	327 	115 	29 	29 	329 	370 
SOCS2	37242 	33649 	6447 	4593 	99 	68 
RBM20	4817 	2418 	908 	470 	231 	241 
FMOD	7202 	237 	676 	484 	87 	181 
TAC1	306 	243 	76 	36 	0 	0 
GABRG3	1481 	1285 	303 	182 	4 	3 
SLC7A10	295 	353 	57 	43 	15 	15 
PDE9A	15541 	7629 	2936 	1531 	901 	410 
YTHDF3-AS1	336 	59 	48 	26 	127 	111 
ANO2	176 	75 	21 	17 	217 	273 
EFEMP1	816 	1083 	106 	126 	8 	4 
ARHGDIG	164 	679 	87 	56 	7 	60 
TMSB15A	6873 	2914 	1086 	656 	2093 	2131 
LEPREL1	497 	35 	53 	36 	9 	11 
PIGH	6425 	2873 	1308 	630 	1084 	1044 
SOCS2-AS1	33691 	30479 	8958 	4352 	21 	11 
LRRC9	700 	952 	148 	112 	372 	132 
PPIAP22	134 	35 	25 	11 	65 	36 
COTL1	6010 	2446 	627 	583 	440 	532 
ASRGL1	8473 	4864 	1274 	928 	2162 	2374 
GHR	2794 	4543 	792 	510 	6 	7 
FAM19A4	400 	400 	77 	56 	52 	65 
EBP	5452 	2903 	976 	585 	2226 	2334 
P2RY1	1162 	4854 	611 	423 	1 	4 
PLA2G7	8828 	5108 	1800 	982 	8 	3 
HOXA10-AS	784 	288 	101 	76 	130 	307 
RPL3P4	154 	36 	26 	13 	69 	33 
IRX4	7364 	5788 	1206 	931 	168 	725 
RASD1	1112 	706 	188 	129 	83 	93 
ZIC3	750 	722 	149 	105 	1 	1 
APOD	13800 	6869 	745 	1476 	59 	185 
HOXA9	4737 	852 	316 	400 	702 	1400 
UBE2C	2804 	1525 	642 	315 	5527 	6599 
RGMB-AS1	4559 	1645 	528 	452 	10 	22 
STXBP5	13923 	33215 	6700 	3450 	1715 	2307 
CENPA	1217 	796 	304 	148 	2721 	2774 
SNX31	253 	408 	98 	49 	35 	28 
TMEM79	14432 	10263 	2047 	1835 	617 	541 
MESP1	4410 	1118 	589 	412 	591 	665 
RMST	416 	272 	54 	52 	197 	125 
CES5AP1	357 	284 	80 	48 	665 	170 
MT-CO2	1342498 	232607 	136465 	118817 	254691 	188598 
PTTG1	2438 	1406 	552 	291 	6719 	7067 
MDFI	1247 	1034 	230 	172 	7 	10 
TMSB10	37706 	5696 	3171 	3282 	14442 	14718 
HIST1H2BH	186 	34 	22 	17 	733 	646 
NXPH4	2680 	1218 	229 	296 	3797 	3890 
DLGAP1	531 	1270 	158 	137 	3 	4 
FASN	66089 	274448 	32842 	25944 	27147 	29410 
CKS2	3375 	1717 	729 	388 	3498 	4256 
NTRK3	72 	235 	63 	23 	222 	296 
FAM149A	4015 	607 	140 	355 	1619 	1046 
MUM1L1	391 	227 	69 	48 	1 	0 
RPL18AP3	802 	163 	107 	75 	273 	189 
DDT	1328 	488 	209 	141 	397 	532 
CYP4F8	1833 	1762 	208 	279 	1 	0 
IL1RAPL2	34 	17 	23 	4 	5 	6 
MAP7D2	5403 	1664 	880 	552 	625 	654 
VSIG10L	2341 	2474 	386 	377 	136 	127 
PDZD2	14496 	17436 	3261 	2515 	4454 	4043 
TRGV7	220 	112 	63 	26 	0 	0 
SLC9A3R2	5862 	3302 	1049 	723 	2839 	1798 
STAC2	100 	51 	30 	12 	21 	25 
GLYATL1	325 	211 	33 	42 	1 	0 
C12orf57	5453 	1363 	858 	543 	2891 	4227 
UBE2S	5497 	3848 	1247 	745 	15859 	23287 
ACSM1	1392 	127 	139 	121 	10 	2 
PLCB1	2157 	4635 	1158 	549 	6482 	7912 
SMOC2	6204 	3540 	1656 	788 	344 	208 
FKBP5	28348 	22391 	2557 	4112 	3363 	2769 
C9orf66	516 	268 	72 	64 	0 	0 
GUCY2D	53 	29 	21 	7 	1 	0 
ST3GAL6	820 	856 	186 	138 	741 	765 
PIF1	1064 	996 	365 	170 	2869 	2959 
RBP7	540 	424 	144 	80 	899 	530 
GRASP	718 	711 	217 	119 	563 	569 
STEAP1	20674 	21868 	7048 	3545 	10 	7 
CCNB2	2873 	2701 	855 	465 	5092 	6246 
IDI1	10736 	9539 	2018 	1696 	3483 	4135 
NRXN1	91 	1072 	104 	98 	12293 	13414 
MYBL2	7837 	7322 	2347 	1280 	30839 	27724 
EEF1G	1380 	170 	202 	131 	159 	102 
STC2	2005 	1044 	466 	260 	1371 	1041 
ACOT7	1554 	1713 	483 	281 	2652 	3510 
TMEM74B	430 	270 	68 	61 	82 	69 
DAB1	3676 	3066 	1326 	585 	89 	80 
ADAMTS1	15001 	22260 	13562 	3232 	44 	52 
PLA2G2A	126144 	15508 	13031 	12304 	52 	6 
MTATP6P1	228 	40 	29 	23 	48 	32 
AMD1	68476 	45024 	11003 	9913 	7219 	8555 
SMOX	1242 	689 	185 	169 	44 	58 
CUX2	21501 	26921 	8573 	4250 	5618 	3773 
AACSP1	126 	139 	43 	23 	90 	88 
HES2	1815 	3648 	287 	482 	2773 	2624 
DHRS2	354 	333 	110 	61 	70 	172 
TRIP13	1068 	987 	341 	182 	2187 	2124 
PDIA2	142 	547 	97 	61 	13 	52 
CSGALNACT1	10546 	14071 	5018 	2184 	2852 	2685 
PABPC1L2B	639 	874 	316 	134 	0 	1 
LGALS1	2108 	1747 	588 	343 	2971 	2688 
AURKB	1498 	1300 	542 	249 	3851 	5224 
LAMA3	14296 	21233 	8967 	3168 	1979 	1123 
LSAMP	11684 	8574 	5207 	1808 	2094 	1239 
IDH1	37002 	33204 	9999 	6293 	1135 	1360 
SPC25	807 	628 	279 	129 	2540 	2173 
INSIG1	6625 	9468 	1296 	1450 	3192 	4685 
ELMO1	490 	466 	65 	86 	6862 	7188 
SLC12A1	249 	535 	84 	71 	54 	37 
ERLEC1	18639 	22436 	4594 	3725 	2380 	2116 
FGFRL1	14679 	18220 	4902 	2985 	111 	111 
STARD4	1831 	1359 	222 	290 	6626 	9667 
FZD9	60 	110 	26 	15 	1119 	253 
MTFR2	279 	187 	76 	42 	381 	492 
ACAT2	3088 	3717 	944 	620 	1586 	1864 
GCHFR	1974 	318 	365 	209 	933 	634 
EVA1A	183 	606 	89 	72 	442 	510 
MYLK2	61 	47 	24 	10 	168 	191 
GNAI1	904 	981 	98 	173 	3655 	3612 
PBK	1141 	1171 	414 	212 	2791 	3255 
GSTM3P1	58 	93 	37 	14 	1563 	1761 
PABPC1L2A	571 	611 	252 	109 	0 	1 
SLC30A4	42241 	85659 	36729 	11818 	855 	724 
RPL6P27	232 	102 	45 	31 	114 	92 
CKB	26473 	7875 	3976 	3187 	25021 	21719 
RDH12	128 	90 	32 	20 	31 	19 
FLT4	74 	74 	28 	14 	5 	7 
NRROS	360 	426 	119 	73 	54 	88 
MED14-AS1	172 	78 	37 	23 	90 	82 
DOK6	886 	986 	508 	175 	1661 	1535 
PKP1	8427 	18222 	2820 	2496 	640 	595 
MGP	2721 	379 	395 	291 	307 	252 
PTPLA	673 	528 	264 	113 	22 	13 
OACYLP	1372 	275 	248 	155 	2 	1 
PSCA	649 	245 	57 	84 	5 	7 
AP2S1	8301 	3987 	1810 	1162 	1978 	2546 
ARSI	74 	248 	60 	31 	248 	124 
MND1	300 	178 	75 	45 	238 	198 
LIFR	22197 	19412 	5487 	3940 	140 	104 
RYR2	220 	114 	36 	32 	37 	120 
H2AFJ	27427 	9853 	5494 	3540 	416 	624 
GLRX2	1014 	412 	205 	136 	114 	65 
RAI2	2751 	3341 	656 	579 	10 	11 
TPO	644 	861 	136 	143 	28 	40 
NME4	17911 	8272 	4247 	2496 	3394 	3306 
RPL5P34	94 	51 	38 	14 	89 	48 
GDF7	16 	303 	23 	31 	1 	0 
CDC20	3305 	3398 	1350 	640 	7382 	10186 
CEP55	902 	855 	326 	168 	2287 	2028 
C7orf63	30346 	55793 	14203 	8254 	1566 	721 
RPS3AP6	240 	70 	40 	30 	84 	55 
POM121L10P	287 	72 	61 	34 	52 	49 
TWIST1	839 	369 	132 	116 	727 	936 
MTHFS	2265 	818 	378 	297 	312 	286 
MIF	6337 	4114 	1288 	1013 	5943 	7263 
CAMK1	393 	827 	193 	119 	53 	23 
PDLIM5	70983 	99205 	14111 	16547 	4984 	3501 
RELN	368 	241 	91 	59 	24541 	9963 
ATP8B4	221 	74 	22 	29 	517 	457 
KRT14	1150 	3456 	273 	452 	14 	3 
HES6	2336 	1372 	675 	364 	138972 	91261 
NDC80	1107 	1203 	412 	227 	3166 	3851 
CDH7	1025 	1109 	169 	210 	95 	105 
RGS7BP	126 	684 	134 	80 	39 	9 
SESN3	12823 	20752 	4491 	3311 	11600 	17083 
FGFR3	1686 	2310 	760 	394 	14552 	4441 
FAM43A	6203 	6634 	1402 	1268 	6569 	10621 
PRDX6	27247 	31247 	9766 	5821 	4069 	3372 
CCKBR	139 	67 	29 	21 	1 	4 
RAD51	839 	375 	185 	122 	1699 	2082 
CREB3L4	12459 	9947 	4552 	2247 	1581 	1478 
FZD10	371 	480 	130 	86 	21 	17 
ELAVL2	699 	538 	114 	124 	5535 	4891 
MBOAT2	21217 	20135 	3152 	4165 	5017 	3995 
MCCC2	93233 	24092 	14459 	11843 	2431 	2621 
IRS2	10784 	17412 	2813 	2847 	2856 	4139 
NKAIN1	3486 	1057 	238 	460 	228 	447 
SNAP25	1499 	375 	290 	190 	8020 	12984 
PTMS	23915 	7147 	6027 	3166 	24326 	20903 
C1orf122	5183 	1896 	1057 	723 	1292 	1102 
BIRC5	3211 	3326 	1405 	668 	5672 	6293 
TPM3P6	176 	161 	30 	34 	9 	11 
SIAH2	8554 	5048 	1612 	1392 	2019 	1917 
MPC2	12961 	5038 	1950 	1843 	2742 	2300 
C19orf81	393 	74 	71 	48 	61 	58 
MARC1	4024 	3167 	1030 	738 	653 	490 
GPR116	1327 	1757 	297 	317 	4042 	2960 
CYP1B1	7680 	5428 	1499 	1351 	432 	600 
RRM2	5021 	5715 	2188 	1107 	14446 	18416 
SNAP91	3212 	2369 	1308 	576 	1020 	1237 
DLGAP5	1515 	2271 	746 	392 	5506 	7046 
CDCA3	2138 	1205 	665 	346 	8702 	6146 
C1orf116	27878 	39012 	4451 	6925 	174 	257 
RPL15P3	85 	29 	21 	12 	35 	20 
C15orf59	299 	328 	110 	65 	194 	213 
MAD2L2	7203 	3566 	1488 	1117 	4834 	5551 
SPC24	980 	780 	386 	183 	1894 	2217 
MT2A	5361 	1710 	1367 	737 	2510 	3900 
TMEM238	688 	179 	225 	90 	186 	88 
SEMA3G	77 	200 	41 	29 	32 	47 
UBASH3B	818 	1714 	196 	265 	10792 	8996 
SLC1A5	5780 	6523 	2153 	1287 	6625 	5748 
AP1S2	4552 	3782 	1387 	874 	3430 	2237 
DEPDC1	2327 	3702 	1222 	632 	4773 	6588 
CLEC11A	1143 	441 	279 	166 	393 	420 
HS3ST3B1	584 	746 	172 	140 	2422 	3448 
ST8SIA2	759 	73 	63 	88 	4359 	4662 
OIP5	201 	187 	85 	41 	425 	531 
AVEN	551 	152 	81 	74 	286 	269 
ANO7	4222 	10428 	2959 	1549 	182 	203 
ADAMTSL5	119 	147 	31 	28 	3 	4 
C18orf56	430 	227 	107 	70 	437 	499 
BMS1P18	192 	136 	61 	35 	8 	12 
TP53TG1	1744 	734 	307 	264 	38 	36 
MYC	2246 	3628 	331 	627 	2194 	3112 
PEX10	6376 	6120 	1517 	1334 	717 	703 
NUF2	888 	800 	278 	180 	4267 	4303 
DCXR	10221 	6447 	4304 	1785 	1062 	1110 
SAPCD2	4508 	5516 	1927 	1074 	10042 	9731 
SLC22A16	300 	166 	55 	50 	248 	99 
SEC61B	5371 	1712 	977 	761 	1521 	2291 
HES4	5807 	1694 	900 	809 	1995 	980 
AVPR1A	14 	184 	28 	21 	2 	11 
STEAP2-AS1	105 	60 	27 	18 	0 	0 
CCNB1	3901 	3713 	1599 	824 	6663 	8842 
GAPDH	139969 	35960 	31180 	19043 	149158 	133747 
SOD3	11913 	11121 	2058 	2498 	102 	23 
STARD3NL	20392 	13076 	4848 	3636 	2253 	2271 
RASGRF1	279 	573 	358 	93 	2 	7 
CDKN3	898 	633 	344 	167 	1709 	1872 
CNTN4	2117 	2654 	764 	524 	33 	5 
STRA13	9690 	6133 	3066 	1737 	1773 	1843 
GNG10	802 	1107 	326 	210 	391 	572 
MPP6	3124 	8237 	748 	1249 	8603 	5919 
UNC80	4726 	3471 	944 	901 	11358 	5315 
FREM1	2768 	3831 	5676 	728 	372 	253 
CENPN	1069 	2276 	489 	369 	1019 	1238 
MAD2L1	3107 	2773 	1032 	650 	6773 	7652 
MED12L	4463 	3997 	1345 	935 	2283 	2906 
PLK1	2991 	3721 	1424 	745 	6640 	10811 
RLTPR	154 	128 	44 	31 	3721 	2617 
ZDHHC8P1	2305 	2008 	780 	480 	3949 	1550 
IFI6	23212 	2866 	1775 	2910 	2353 	1812 
CCDC150	580 	513 	161 	122 	1860 	1717 
MFI2-AS1	839 	168 	238 	113 	616 	274 
FAM184B	3 	57 	45 	7 	232 	539 
CD38	4563 	13513 	2031 	2027 	2 	4 
LSP1P3	154 	365 	102 	58 	19 	24 
GMPR	10606 	7965 	1365 	2085 	93 	142 
SLC5A8	138 	154 	92 	33 	59 	16 
HJURP	3612 	4700 	1888 	936 	8588 	8767 
NAAA	6548 	5943 	1697 	1407 	138 	122 
SNX10	250 	93 	23 	39 	1928 	1984 
FBXO43	737 	937 	312 	190 	3360 	2844 
RPL7P1	144 	59 	38 	23 	56 	50 
DERL3	298 	142 	94 	50 	612 	591 
MRPL51	3784 	1180 	754 	566 	2192 	3045 
EFCC1	164 	145 	64 	35 	1 	2 
CDK1	9358 	6961 	3351 	1868 	22316 	17080 
YRDC	1747 	1093 	370 	325 	1413 	1873 
DEPDC1B	1661 	2086 	800 	430 	2897 	3124 
ZNF331	8467 	11099 	2413 	2253 	2829 	2413 
TTN	726 	114 	82 	97 	668 	393 
HEY2	593 	170 	78 	88 	70 	44 
C3orf14	2429 	1281 	507 	429 	2573 	2416 
TMEM204	470 	226 	55 	80 	135 	78 
SMS	36232 	12541 	6796 	5640 	5933 	4603 
SGCD	19077 	13558 	3762 	3791 	1863 	1484 
HMMR	1715 	1715 	776 	399 	4653 	3786 
NOP10	3922 	1102 	718 	584 	1504 	2043 
NDUFA7	1178 	253 	260 	166 	390 	313 
FOXM1	4250 	3208 	1474 	869 	12402 	16149 
ADRB1	1000 	801 	411 	210 	3 	4 
CNTD2	809 	486 	129 	151 	14 	15 
PLA2G2F	410 	274 	41 	80 	2 	1 
ACPP	119954 	145072 	51025 	31116 	128 	221 
TSC22D3	10446 	8105 	4172 	2184 	101 	307 
ARHGAP11A	2674 	2429 	1033 	601 	12713 	18193 
TPI1	25444 	6750 	5267 	3795 	22888 	22534 
PAK1IP1	982 	1005 	316 	234 	345 	514 
ATP6V1G1	17334 	9741 	4138 	3192 	4131 	4066 
GJB1	1831 	992 	570 	333 	10 	0 
FAM83D	1580 	1851 	916 	405 	3347 	4571 
HOXA11	530 	331 	125 	102 	2 	2 
NPY1R	21 	12 	21 	4 	4 	1 
PM20D2	27453 	35084 	9527 	7407 	3175 	2500 
ADAMTS9	831 	1374 	596 	262 	381 	192 
APOBEC3B	558 	589 	217 	136 	248 	39 
FZD5	5331 	9831 	1933 	1804 	84 	86 
CENPM	756 	388 	232 	136 	1906 	1900 
ADPGK-AS1	85 	174 	86 	31 	27 	34 
CHPT1	9471 	6687 	2044 	1939 	545 	427 
GALNT7	7284 	10348 	2097 	2121 	1651 	1768 
RPL14P1	142 	95 	46 	29 	86 	62 
DGUOK-AS1	301 	196 	131 	60 	109 	74 
LDHA	19045 	6575 	4323 	3087 	16536 	16624 
SMCO4	4518 	2270 	1098 	818 	345 	358 
NCAPH	857 	1388 	445 	271 	2508 	3674 
CHCHD10	1037 	268 	343 	158 	373 	318 
FKBP1B	1163 	647 	216 	219 	281 	336 
OR7E47P	176 	155 	37 	40 	383 	269 
DYSF	305 	264 	82 	69 	178 	165 
BARX1	5105 	2412 	1169 	913 	115 	131 
ART4	335 	212 	104 	67 	6 	11 
MGLL	11961 	11803 	14944 	2892 	86 	167 
PTMAP5	63 	22 	25 	10 	59 	50 
RAD51AP1	1371 	799 	341 	265 	3508 	3320 
KBTBD11	2117 	3414 	1176 	677 	264 	449 
STEAP2	126265 	190609 	67490 	38795 	48 	44 
MZT2B	7205 	2305 	1866 	1164 	2531 	2244 
SLC25A33	3688 	2324 	999 	736 	773 	843 
PLEKHJ1	4950 	2173 	1199 	873 	4563 	4708 
TACC3	3808 	3949 	1778 	951 	10957 	11357 
TMEM141	6840 	2300 	1506 	1120 	721 	577 
EMC7	3286 	1096 	641 	538 	2025 	2195 
EBPL	1317 	882 	384 	270 	452 	371 
SORD	23558 	17467 	6821 	5045 	2695 	3031 
CXCL12	374 	501 	139 	108 	165 	10 
MTND2P28	675 	113 	47 	97 	90 	79 
IPO9-AS1	164 	23 	25 	23 	90 	62 
GTF3C6	6124 	2564 	1417 	1071 	1971 	2556 
PRDM13	13 	58 	21 	9 	4 	7 
SNORD3A	223 	120 	64 	42 	146 	472 
MRPL41	6874 	2574 	1626 	1170 	1032 	1143 
hsa-mir-6723	33739 	3473 	3509 	4615 	6308 	2917 
RPL7P9	159 	61 	51 	27 	78 	48 
CYP4X1	1771 	1062 	283 	352 	55 	135 
PCDH20	341 	663 	190 	125 	704 	434 
PHLDA2	1038 	380 	177 	176 	74 	78 
SAC3D1	1475 	862 	467 	291 	1960 	2450 
CDC42EP5	523 	246 	32 	96 	0 	1 
AURKA	1626 	1726 	699 	419 	2845 	3574 
LAG3	683 	185 	175 	109 	1087 	1059 
FAM64A	803 	768 	370 	197 	2324 	2586 
BCAM	59804 	58423 	21925 	14796 	1197 	1022 
PTRHD1	2745 	2032 	661 	598 	900 	1255 
SGOL1	584 	678 	289 	158 	1966 	2709 
SAMD5	7204 	7035 	2573 	1788 	1725 	996 
CRADD	2111 	1609 	535 	467 	657 	726 
ZBTB20	2524 	3652 	516 	776 	539 	738 
GSTT2B	172 	115 	53 	36 	49 	50 
TROAP	3256 	2742 	1520 	756 	9864 	10537 
PAQR6	2514 	2961 	829 	692 	705 	437 
NMU	270 	262 	134 	67 	650 	740 
CDC25C	683 	670 	296 	172 	1515 	1517 
GPSM3	181 	50 	64 	29 	141 	152 
TKT	5017 	5790 	1817 	1373 	3349 	4050 
CKMT1B	1038 	794 	323 	233 	921 	821 
PPM1H	9109 	14131 	3707 	2959 	199 	315 
MZT2A	6266 	2689 	1599 	1141 	3053 	3179 
RPL13AP5	1613 	858 	414 	315 	593 	567 
MANF	3411 	1022 	681 	566 	1649 	1760 
TPD52	45296 	27548 	8984 	9311 	39457 	34812 
RPS7P1	184 	113 	47 	38 	105 	101 
HRAS	1734 	666 	424 	308 	2257 	2414 
FSTL4	82 	380 	113 	59 	430 	465 
MMAB	2003 	1338 	575 	430 	1086 	1042 
H2AFX	8750 	4983 	2650 	1768 	10047 	10080 
VIMP	4083 	2181 	903 	808 	1692 	1737 
GTSE1	1027 	1309 	557 	301 	9061 	8902 
GULP1	4209 	6453 	1835 	1378 	11 	3 
GSTT2	593 	475 	233 	138 	161 	183 
KIF4A	1792 	3152 	1162 	641 	4983 	6270 
PTRF	9727 	11094 	3448 	2706 	248 	244 
TMEM105	183 	119 	22 	39 	13 	10 
DDX25	53 	53 	33 	14 	218 	343 
SS18L2	4191 	2331 	1312 	850 	1057 	858 
PSRC1	1678 	1404 	678 	403 	4306 	3833 
CKAP2L	977 	1455 	615 	318 	4495 	5882 
CAMK2N2	803 	357 	322 	152 	329 	159 
MRPS26	4764 	1952 	1347 	880 	1615 	1407 
ROMO1	5700 	2182 	1700 	1034 	1756 	2063 
SLC27A2	1930 	1316 	320 	426 	1838 	1849 
ARMCX4	200 	639 	378 	110 	2 	4 
MZT1	1923 	1268 	594 	420 	3215 	3383 
